 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| 18.5/(FRExt)| 07/06 | 11:18 |          D:\practice\tupian\foreman.cif|   50 |  0/0  | 24 | 24 | 30 | 352x288 |    0  |  0 |  FS  |  022 |   7 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 40.490| 43.461| 46.351| 39.257| 42.955| 45.811|  57581|1047557|      0|  1105243|         969022   |         819517   |
| 18.5/(FRExt)| 07/07 | 10:11 |          D:\practice\tupian\foreman.cif|   50 |  0/0  | 24 | 24 | 30 | 352x288 |    0  |  0 |  FS  |  022 |   7 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 40.490| 43.461| 46.351| 39.257| 42.955| 45.811|  57581|1047557|      0|  1105243|         971988   |         822183   |
| 18.5/(FRExt)| 07/07 | 10:45 |          D:\practice\tupian\foreman.cif|   50 |  0/0  | 28 | 28 | 30 | 352x288 |    0  |  0 |  FS  |  022 |   7 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.964| 41.556| 44.242| 37.027| 41.114| 43.800|  37699| 586570|      0|   624374|         862073   |         728187   |
| 18.5/(FRExt)| 07/07 | 11:00 |          D:\practice\tupian\foreman.cif|   50 |  0/0  | 32 | 32 | 30 | 352x288 |    0  |  0 |  FS  |  022 |   7 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 35.496| 40.311| 42.737| 34.645| 39.907| 42.255|  24557| 336778|      0|   361440|         756852   |         636890   |
| 18.5/(FRExt)| 07/07 | 11:22 |         D:\practice\tupian\1 mobile.cif|   50 |  0/0  | 24 | 24 | 30 | 352x288 |    0  |  0 |  FS  |  022 |   7 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 39.149| 40.242| 40.264| 37.100| 39.395| 39.204| 172714|4111858|      0|  4284677|        1120018   |         911350   |
| 18.5/(FRExt)| 07/07 | 18:49 |         D:\practice\tupian\1 mobile.cif|   50 |  0/0  | 28 | 28 | 30 | 352x288 |    0  |  0 |  FS  |  022 |   7 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 35.656| 37.546| 37.420| 33.876| 36.882| 36.601| 130301|2745778|      0|  2876184|        1051585   |         863548   |
| 18.5/(FRExt)| 07/07 | 19:09 |         D:\practice\tupian\1 mobile.cif|   50 |  0/0  | 32 | 32 | 30 | 352x288 |    0  |  0 |  FS  |  022 |   7 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 32.051| 35.765| 35.508| 30.582| 35.197| 34.797|  94829|1690123|      0|  1785058|         975017   |         808975   |
| 18.5/(FRExt)| 07/07 | 19:46 |     D:\practice\tupian\1 coastguard.cif|   50 |  0/0  | 24 | 24 | 30 | 352x288 |    0  |  0 |  FS  |  022 |   7 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 38.842| 46.179| 47.383| 37.032| 45.549| 46.571|  98741|2591914|      0|  2690760|        1295770   |        1110643   |
| 18.5/(FRExt)| 07/07 | 20:11 |     D:\practice\tupian\1 coastguard.cif|   50 |  0/0  | 28 | 28 | 30 | 352x288 |    0  |  0 |  FS  |  022 |   7 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 35.470| 44.518| 45.742| 34.158| 43.898| 44.639|  67018|1569936|      0|  1637059|        1213147   |        1050664   |
| 18.5/(FRExt)| 07/07 | 20:30 |     D:\practice\tupian\1 coastguard.cif|   50 |  0/0  | 32 | 32 | 30 | 352x288 |    0  |  0 |  FS  |  022 |   7 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 32.529| 43.297| 44.567| 31.435| 42.638| 43.384|  41554| 849014|      0|   890674|        1093987   |         952605   |
| 18.5/(FRExt)| 07/07 | 20:54 |         D:\practice\tupian\1 stefan.cif|   50 |  0/0  | 24 | 24 | 30 | 352x288 |    0  |  0 |  FS  |  022 |   7 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 40.298| 41.961| 41.961| 38.166| 40.941| 41.064| 112306|2818853|      0|  2931264|        1056499   |         877618   |
| 18.5/(FRExt)| 07/07 | 21:23 |         D:\practice\tupian\1 stefan.cif|   50 |  0/0  | 28 | 28 | 30 | 352x288 |    0  |  0 |  FS  |  022 |   7 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.060| 39.268| 39.317| 35.099| 38.670| 38.680|  82440|1831622|      0|  1914168|         980912   |         818193   |
